,cluster_id,msno
0,2,++5wYjoMgQHoRuD3GbbvmphZbBBwymzv5Q4l8sywtuU=
1,2,++AH7m/EQ4iKe6wSlfO/xXAJx50p+fCeTyF90GoE9Pg=
2,3,++e+jsxuQ8UEnmW40od9Rq3rW7+wAum4wooXyZTKJpk=
3,5,+/SKX44s4ryWQzYzuV7ZKMXqIKQMN1cPz3M8CJ8CFKU=
4,5,+/UwoUi5+rNj/F6RO6gMrMhOy0oTzs90MWKVNZs4+Wg=
5,15,+0+XaewkS3za58vHwKCVGwRYRvjig4lTtKDV/tOkzbU=
6,15,+06pc1V8QfywrGOTNln/7X7Md8dA8fVOIU37n2M5mv8=
7,7,+0B4aHABar5ltaWDG4M6KCzNxpD6wnsvZpvh+o9KgtE=
8,3,+0CxUZKWtmqPKlW+2VF+hY2rfq+Dh9JM/AqoZJnCr4E=
9,3,+0U8n45rrg6b5WCy3wpqOUYCwZyLqecr3lux9K6ahMk=
10,13,+0e12C+p9dzDbOvKjt8eElKH9yZPshAstxjm60XFgSM=
11,13,+0fIn7dpNl78+g/0mdltKgWRW9sjv4HjTgrB+RJy1EM=
12,15,+0qp8s9V3eIIPGNZpQzmFNOetFXHApbV7WGgVXcisCY=
13,15,+1S8kSyg/yHej4r0ljM3/SiemWL11TWAzKtCNtCBk5Q=
14,15,+1a0wTElsAMdYysWZk1uBxeLnjxIc4vB2EznisNlpVw=
15,20,+1oEQNa1cLpYIqM4+yDwc78kv8dCJWDjkixPPbNRPSk=
16,3,+1yc8TkVhgxT0sW7QRrPXUmX4Bx3KfKKsiVyWrlHnF0=
17,5,+22Q6EpFwjgJhiiGWz7GQUiq5yu0adEEZWH8j/fj19w=
18,5,+2XBp2p9atTpyVPWac3SEEW41i8Xrnl7Utl/h8T4iOo=
19,3,+2dukLzY+E4IVHMJPFcjBu21pcSArwiZyWG2w5rGUoI=
20,18,+3RfkckBHS0oQrrjJj7p69bdwJak+qzKq0fhFaeXUxA=
21,3,+3TmD1r1LdFDR8jzo4xb+Ra2xio/GLHt3JE1b1sYPAU=
22,7,+3ZfWe/LGkLA8mmHNP6eKQdwLrREb4E62en8GaCb19E=
23,19,+45CbJ0FesVNGJOY36mrrXFm1tkHwNyebp6qAXEc/Go=
24,3,+46pWXPf+T7o/txKF412S8ThB4D8YdbL6jmWWOcJEx8=
25,5,+47I9cb7nrGOTd//sIc9prH7SEXA3ujNaL+1R5e1Hyo=
26,18,+4X/LV1GF60GfVJRS5941H60DDLfK+7g9PAy6cKpzso=
27,5,+4YtW0s/lumpkhrdTNo5ErDKsWoXCndazu97upyKuj8=
