msno,city,registered_via,registration_init_time,expiration_date,genre_1,genre_2,genre_repeat_top1,genre_repeat_top2,lang1,lang2,lang_repeat_top1,lang_repeat_top2,artist_name1,artist_name2
XQxgAYj3klVKjR3oxPPXYYFp4soD4TuBghkhMTD4oTw=,1,7,20110820,20170920,465,458,1259,921,3,24,3,24,五月天 (Mayday),Various Artists
D8nEhsIOBSoE6VthTaqDX8U6lqjJ7dLdr72mOyLya2A=,1,4,20160411,20170712,1609,465,465,4,52,3,52,NA,Alan Walker,The Chainsmokers
pg6bT2XZkSP1TDBy4qn3HBPY/HffKQ/bg8WIISQYBSY=,1,7,20160130,20170930,465,1609,26,1609,52,3,52,NA,Alessandra Amoroso,Calvin Harris
kfk1AdTNH2dNqF5LzIs4e0vwGPejw2jrnFjJlcYnEgk=,1,7,20110111,20170930,465,458,1,465,3,31,3,31,Various Artists,林俊傑 (JJ Lin)
tscijwx4dbEp0NXGl+iFtHJ8zrj+TkcMrduOQk9t+gE=,1,7,20160217,20170613,465,444,458,3,3,31,3,31,黃明志 (Namewee),五月天 (Mayday)
GoFYKhcq8Q5Gjz1M5L0azHZOhcY+Za/T7fRqIGgBuYA=,12,9,20060531,20170816,465,458,458,1,3,31,3,NA,陳奕迅 (Eason Chan),陳零九 (Nine Chen)
Hiw71XZQSoEe1I7pBhPWi3kIrP7Ss7pwExZgtqFmtYw=,1,7,20150909,20170909,1609,465,139,36,52,17,52,17,Avicii,David Guetta
V6QgFYHgsfZ2G6hFz1z2u3RrLt5BoLsZKBr+h0ZnFsA=,1,7,20120105,20170918,458,465,5,451,3,NA,3,NA,G.E.M.鄧紫棋,周杰倫 (Jay Chou)
RoSfblbwJN/izEnFIVw8TgOpm8R/NEpUC84Oz/b32HQ=,15,3,20150915,20171019,947,458,1609,465,3,-1,3,-1,Della心靈換季音樂,C'est La Vie
N+dxmo1qvkKAlzYtcxGzjrqcpVyX9J7AMlXFuYASKuY=,1,3,20140412,20170815,465,458,921,458,3,52,3,52,莊心妍,胡彥斌 (Tiger Hu)
vUzJAyFEudsnkWwfcLIKT5mJAV+uVRTW2uajCrghFwI=,13,3,20140410,20170427,465,458,1152,1,3,52,3,52,玖壹壹,李榮浩
/NFMlPP8FvyxVLHcSA4af/BfbRvGXwD+IYpZqVylb7I=,1,7,20121228,20170930,458,465,465,1259,3,10,3,10,伍佰 & China Blue,五月天 (Mayday)
v8+kU3kqYo9P8kIcuLrliJ/57jCTZG75cXvyYdagbhU=,1,9,20160923,20170925,465,458,359,458,3,17,3,17,莊心妍,八三夭 (The Last Day of Summer 831)
+QyD+0xRgzi2552jFOFk5FfDJsqfe5D6xmHpHf6J5Bk=,1,4,20170124,20170127,444,921,921,444,31,NA,31,NA,Various Artists,Discovery Of Romance
2g1ydVe2XxKPTMf2P9BhFfZOUC0Kteti8KyMr6iVaj0=,5,4,20161124,20170808,465,2213,5,1,45,3,45,3,王菲 (Faye Wong),กันอชิ อชิรวิชย์
IptzXjBNx4yZaetmolc/moHn2SYT2oZM7SX9mGyMKDo=,1,9,20161209,20161212,458,465,458,11,3,52,3,NA,五月天 (Mayday),周杰倫 (Jay Chou)
v1/E8gN8p5TFweTX3HAc4mm31LxqP6c1ZGGJiKyCuH4=,1,4,20170120,20170808,465,458,1,1259,3,52,3,52,林俊傑 (JJ Lin),玖壹壹
ed0hCzvhKVxHMIodLtgkzb1G4ryiet50rO/GE3W3pEA=,1,4,20161209,20161212,465,458,1,1609,3,52,3,NA,玖壹壹,Various Artists
tXcypQ/1TwiThcv2HfBhStBxDlza66KHCcbLAXFxey4=,1,4,20160826,20170611,465,458,2,8,3,31,3,NA,孫盛希 (Shi Shi),Bii畢書盡+陳勢安+陳彥允+李玉璽
KxIHfr086p8f8yKp1ZUJF4EsA7qfpPguo0bNG2PkQBA=,1,4,20170104,20170107,465,458,1,2,3,31,3,31,TWICE,田馥甄 (Hebe)
R01NRe7BNIWmterVXYzXQ82GZRu8rVHjRYyEpsIFxwQ=,1,7,20140128,20170924,465,458,30,458,3,52,3,52,玖壹壹,田馥甄 (Hebe)
ox62m0QICnrFa8/ZM5jJ5WBidWIieREUjUdCiWExLSU=,6,7,20140118,20170917,465,458,465,1,3,52,3,52,田馥甄 (Hebe),朱俐靜 (Miu Chu)
Der2/cdVesg2+u1UZX/u11dZBM/FWtNl1TlKIK82puw=,11,9,20140817,20171231,465,458,4,921,3,52,3,52,謝和弦 (R-chord),周杰倫 (Jay Chou)
SOanReUpXJH3UEwvJ6aTcTadeSydUVKfxTLMT+eMUug=,1,4,20151007,20161108,458,921,465,1,3,31,3,31,畢書盡 (Bii),Soyou
wuQ6XMUzOWAOoi+ucwMIa1/qKYpURWh1UJLwnuopyQ4=,18,9,20160128,20170914,465,458,1616,798,3,52,3,52,蔡依林 (Jolin Tsai),林俊傑 (JJ Lin)
gVhSsPpgPahjgc3otkuh5me02Tk9MFKkISphH5oKQVo=,15,4,20151029,20171006,465,458,458,139,3,52,3,52,Various Artists,媽媽說故事
pXrqb5LRcKCG83LnFoa20jebHP4/gRnEvzq8Ik22jzY=,4,9,20150613,20170917,465,458,1,2,3,31,3,31,周杰倫 (Jay Chou),田馥甄 (Hebe)
22Ki9N1ODFlJMiZaAi91MDO0R4eDL4AecAjKfGFWDwA=,1,7,20160116,20170915,465,2022,1,1259,52,17,52,17,Wagakki Band (和楽器バンド),Avril Lavigne
UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,9,20130518,20171202,465,359,1995,1609,52,3,52,3,Various Artists,孫燕姿 (Yanzi Sun)
iOz2XV2LF6MiV+02PovZKeNFDk4+0hWf/QuyiGZ4cCI=,4,3,20160101,20171005,465,458,1,465,52,3,3,52,Maroon 5,The Chainsmokers
nbytZ3+EdbMM3Rk80k4v4g4t4HPbtUAmAIGXYw31mWc=,15,3,20120725,20171005,465,947,1011,13,52,-1,-1,52,陳奕迅 (Eason Chan),妊娠中のための音楽のアカデミー
uRLetVA/REh7ndu0cxJk7MR39YSYzD6MBrBjeqztI0g=,13,3,20120629,20180425,444,1609,1616,359,52,31,52,31,ONE OK ROCK,Shawn Mendes
0R55qOL5jJOFTZpGVIrbfTmRvUk+GGsZigvJt8/ugOI=,1,7,20120512,20170912,726,242,1,726,-1,52,-1,NA,寶寶水晶音樂,Lana Del Rey
41MfJ7RfWrPiw9z3h/BNLiqki6fNWdza8iu2Ll+YXB0=,1,7,20160229,20170930,465,458,444,8,3,31,3,31,周杰倫 (Jay Chou),五月天 (Mayday)
dqJBfV3kbGznStSZrsned5Ke8VMIeNnIfNbgtRkQAwQ=,1,9,20150509,20170911,458,465,1259,2022,3,31,3,31,Various Artists,林俊傑 (JJ Lin)
U9wGSC/pB6SkX+3yKHDfJQyCnUYqvqeZYOCNbroOJf8=,5,9,20130531,20171006,465,1609,1,37,52,-1,52,-1,BMP-Music,Justin Bieber
