,ID,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0,148,253564,148625,40857,144006,31236,254377,89928,332686,105092,100775
1,463,262894,111314,127891,307661,271615,203582,66325,306220,218816,137983
2,471,306220,198182,284220,44440,348165,24404,14393,278829,320808,351512
3,496,93034,159879,329710,35034,230803,304546,346376,197223,205446,159345
4,833,252837,211770,141268,162278,292547,351512,325036,220040,348318,326059
5,1088,306220,198182,48128,225059,152849,72385,154999,239363,262894,218268
6,1238,236840,152849,239363,332686,89928,24404,306220,198182,351512,21355
7,1580,284220,324840,292900,204064,350010,304068,340809,111314,127891,306220
8,1591,284220,62198,159454,6167,103127,323202,288148,230962,78855,228153
9,1645,259296,25816,345503,14393,196754,21914,293915,332775,322281,151973
10,1829,68578,159454,15288,162278,284220,292900,206980,190246,141268,129263
11,1959,0,10,20,30,40,50,60,70,80,90
12,2122,279953,227145,132917,350010,78207,111314,127891,32156,183870,191911
13,2142,196672,95963,259368,263292,19515,245437,49821,150811,89127,333348
14,2366,259296,17029,350010,211876,340265,25816,127987,245823,326965,243059
15,2659,271615,203582,307661,66325,262894,127891,111314,208925,302843,100245
16,2866,160125,302843,179341,171246,284220,65800,301383,251129,204064,104988
17,3175,60458,29283,150974,225059,328423,278890,27542,275288,295979,249164
18,3749,254922,132917,172249,147164,100072,88825,13660,300906,317053,111112
19,3794,306220,17735,333937,200810,208882,351512,342124,141268,6167,165605
20,3918,72385,213725,204750,306388,66325,203582,271615,307661,232420,18255
21,3997,336811,284220,348165,131240,162340,292900,259757,98702,306220,290069
22,4101,0,10,20,30,40,50,60,70,80,90
23,4519,8089,200810,208882,268186,207444,223634,344739,329621,206376,114361
24,4818,0,10,20,30,40,50,60,70,80,90
25,4900,15130,279631,339501,346893,290291,3220,24954,100561,325359,276786
26,4935,162278,6167,245074,137983,141268,196855,284220,46997,15288,106242
27,5156,0,10,20,30,40,50,60,70,80,90
28,5300,162278,306220,198182,262894,284220,17735,187738,131240,141268,6167
29,5803,247571,306220,161812,108035,32156,127891,111314,262894,104020,31080
30,6336,96599,290739,171778,110154,193056,266395,7082,75707,42236,253828
31,6357,6167,292628,17735,342124,68498,282063,183504,162278,142958,162188
32,6397,325742,52633,33813,339991,292547,151396,190820,61362,82205,61209
33,6466,306220,204064,160125,251129,284220,179341,30975,192944,255426,190016
34,6620,51878,14269,123358,270269,54309,176710,179023,44634,199771,159028
35,6654,122874,24404,34981,228122,66814,321563,35059,67972,148552,340347
36,6658,278829,259368,196672,330636,293365,218250,228122,144006,256621,173209
37,7240,142104,145826,121339,270092,138176,260363,257124,154597,209432,8362
38,7253,348165,205228,5719,137320,122874,203582,271615,66325,307661,106641
39,7340,302843,47205,229700,65800,208925,47328,111129,172586,305463,257241
40,7554,199629,311860,220040,5257,284220,251234,281668,247365,133709,346142
41,7754,350010,306220,292900,284220,248072,137983,6167,111314,127891,290069
42,7833,292900,262894,127891,111314,162278,284220,68578,187738,220040,278191
43,7880,159454,155296,326191,8677,220040,114001,142244,219659,55848,258717
44,7982,306220,341616,204064,251129,195341,116683,198182,304068,284220,324840
45,7993,329621,8089,255207,135897,189095,214178,331630,168261,344739,58441
46,8086,159682,337801,300317,242418,311949,78207,91136,155006,146355,136831
47,8389,273131,218816,72385,203582,307661,66325,271615,266502,68955,112836
48,8592,189095,8089,228134,195289,50876,283942,266178,47643,244992,350879
49,8638,29011,72385,16097,238234,347361,320808,206929,319835,310981,76012
50,9376,72385,278191,16097,24404,122874,105650,218816,45327,67766,240490
51,9427,259252,155296,271615,307661,203582,66325,71255,336913,314423,131240
52,9465,306220,160125,62544,25468,282063,204064,281810,284220,251129,275655
53,9852,304426,66814,289109,198182,238035,14393,122874,34981,71255,131240
54,9900,65103,302374,56410,327424,236840,241680,228122,185063,168071,47318
55,10206,0,10,20,30,40,50,60,70,80,90
56,10362,306220,293365,144006,104334,324840,218250,205742,33901,278829,118937
57,10623,159454,322793,220040,292900,41779,35059,29336,245875,142859,307661
58,10817,4487,52617,306388,258928,66325,203582,271615,307661,20002,278191
59,11033,340347,14393,190246,15130,20445,167358,7087,228122,187234,83738
